,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
log2_umis_per_cell[175],12.947271652460351,8.8788112356924755e-16,1.7764123531537026e-15,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,4.002929333667553,0.9998563511569402
log2_umis_per_cell[176],12.947271652460351,8.8788112356924755e-16,1.7764123531537026e-15,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,4.002929333667553,0.9998563511569402
log2_umis_per_cell[177],12.947271652460351,8.8788112356924755e-16,1.7764123531537026e-15,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,4.002929333667553,0.9998563511569402
log2_umis_per_cell[178],12.947271652460351,8.8788112356924755e-16,1.7764123531537026e-15,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,4.002929333667553,0.9998563511569402
log2_umis_per_cell[179],12.947271652460351,8.8788112356924755e-16,1.7764123531537026e-15,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,4.002929333667553,0.9998563511569402
log2_umis_per_cell[180],12.947271652460351,8.8788112356924755e-16,1.7764123531537026e-15,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,12.94727165246035,4.002929333667553,0.9998563511569402
log2_umis_per_cell[181],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[182],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[183],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[184],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[185],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
